Module	Section	Sample Name	Source
FastQC	all_sections	fastp-R1-31bp-auto_adapters-polyG	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-R1-31bp-auto_adapters-polyG_fastqc.zip
FastQC	all_sections	fastp-polyG_only.R1	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-polyG_only.R1_fastqc.zip
FastQC	all_sections	sRNA-POR-79-S1-TP2-raw-bbmerge	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/sRNA-POR-79-S1-TP2-raw-bbmerge_fastqc.zip
FastQC	all_sections	sRNA-POR-79-S1-TP2-fastp-adapters-polyG-bbmerge	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/sRNA-POR-79-S1-TP2-fastp-adapters-polyG-bbmerge_fastqc.zip
FastQC	all_sections	sRNA-POR-79-S1-TP2-fastp-adapters-polyG-31bp-bbmerge	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/sRNA-POR-79-S1-TP2-fastp-adapters-polyG-31bp-bbmerge_fastqc.zip
FastQC	all_sections	fastp-adapters-polyG-31bp-merged	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-adapters-polyG-31bp-merged_fastqc.zip
FastQC	all_sections	fastp-adapters-polyG.R2	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-adapters-polyG.R2_fastqc.zip
FastQC	all_sections	fastp-adapters-polyG-31bp.R1	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-adapters-polyG-31bp.R1_fastqc.zip
FastQC	all_sections	fastp-R1-auto_adapters-polyG	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-R1-auto_adapters-polyG_fastqc.zip
FastQC	all_sections	fastp-adapters-polyG.R1	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-adapters-polyG.R1_fastqc.zip
FastQC	all_sections	fastp-adapters-polyG-31bp.R2	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-adapters-polyG-31bp.R2_fastqc.zip
FastQC	all_sections	fastp-polyG_only.R2	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/fastp-polyG_only.R2_fastqc.zip
FastQC	all_sections	sRNA-POR-79-S1-TP2-fastp-polyG_only-bbmerge	/home/shared/8TB_HDD_01/sam/gitrepos/RobertsLab/sams-notebook/posts/2024/2024-02-02-sRNA-seq-Paired-Read-Merging-Exploratios---Coral-E5-Deep-Dive/sRNA-POR-79-S1-TP2-fastp-polyG_only-bbmerge_fastqc.zip
