,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,ATP_synthase,Unkn-01,A1C,,23.6339825138979,23.5849504799083,0.0674081372576596,NaN,NaN,NaN,NaN,60,
,A02,SYBR,ATP_synthase,Unkn-01,A1C,,23.612786651986,23.5849504799083,0.0674081372576596,NaN,NaN,NaN,NaN,60,
,A03,SYBR,ATP_synthase,Unkn-01,A1C,,23.508082273841,23.5849504799083,0.0674081372576596,NaN,NaN,NaN,NaN,60,
,A04,SYBR,ATP_synthase,Unkn-02,A2C,,24.6271236208044,24.8650754545634,0.404802919739476,NaN,NaN,NaN,NaN,60,
,A05,SYBR,ATP_synthase,Unkn-02,A2C,,24.6356269213284,24.8650754545634,0.404802919739476,NaN,NaN,NaN,NaN,60,
,A06,SYBR,ATP_synthase,Unkn-02,A2C,,25.3324758215575,24.8650754545634,0.404802919739476,NaN,NaN,NaN,NaN,60,
,A07,SYBR,ATP_synthase,Unkn-03,A3C,,24.2012252109682,23.7503762797978,0.391453516624619,NaN,NaN,NaN,NaN,60,
,A08,SYBR,ATP_synthase,Unkn-03,A3C,,23.4968931858657,23.7503762797978,0.391453516624619,NaN,NaN,NaN,NaN,60,
,A09,SYBR,ATP_synthase,Unkn-03,A3C,,23.5530104425597,23.7503762797978,0.391453516624619,NaN,NaN,NaN,NaN,60,
,A10,SYBR,ATP_synthase,Unkn-04,A4C,,24.4499233194104,24.356723618567,0.109827485098059,NaN,NaN,NaN,NaN,60,
,A11,SYBR,ATP_synthase,Unkn-04,A4C,,24.3846048953184,24.356723618567,0.109827485098059,NaN,NaN,NaN,NaN,60,
,A12,SYBR,ATP_synthase,Unkn-04,A4C,,24.2356426409721,24.356723618567,0.109827485098059,NaN,NaN,NaN,NaN,60,
,B01,SYBR,ATP_synthase,Unkn-05,A5C,,23.2172418909377,23.1953945471182,0.0200353059803621,NaN,NaN,NaN,NaN,60,
,B02,SYBR,ATP_synthase,Unkn-05,A5C,,23.1910612971792,23.1953945471182,0.0200353059803621,NaN,NaN,NaN,NaN,60,
,B03,SYBR,ATP_synthase,Unkn-05,A5C,,23.1778804532377,23.1953945471182,0.0200353059803621,NaN,NaN,NaN,NaN,60,
,B04,SYBR,ATP_synthase,Unkn-06,B1C,,23.2666061068699,23.4014719642394,0.118713316252429,NaN,NaN,NaN,NaN,60,
